Protocol  Address          Age (min)  Hardware Addr   Type   Interface
Internet  192.168.10.209          2   0c98.a4c6.ea05  ARPA   GigabitEthernet1/1
Internet  192.168.10.210          -   0c98.a4d5.df05  ARPA   GigabitEthernet1/1
Internet  192.168.10.213          1   0c98.a445.9409  ARPA   GigabitEthernet2/1
Internet  192.168.10.214          -   0c98.a4d5.df09  ARPA   GigabitEthernet2/1
Internet  192.168.122.71          0   0200.4c4f.4f50  ARPA   GigabitEthernet3/3
Internet  192.168.122.91          1   0c98.a4f0.8500  ARPA   GigabitEthernet3/3
Internet  192.168.122.92          2   0c98.a4c6.ea0f  ARPA   GigabitEthernet3/3
Internet  192.168.122.93          1   0c98.a445.940f  ARPA   GigabitEthernet3/3
Internet  192.168.122.94          -   0c98.a4d5.df0f  ARPA   GigabitEthernet3/3
Internet  192.168.122.95          1   0c98.a441.350f  ARPA   GigabitEthernet3/3
Internet  192.168.122.96          1   0c98.a479.070f  ARPA   GigabitEthernet3/3
