Interface              IP-Address      OK? Method Status                Protocol
GigabitEthernet0/0     unassigned      YES unset  up                    up      
GigabitEthernet0/1     unassigned      YES unset  down                  down    
GigabitEthernet0/2     10.10.20.2      YES manual up                    up      
GigabitEthernet0/3     unassigned      YES unset  down                  down    
GigabitEthernet1/0     unassigned      YES unset  down                  down    
GigabitEthernet1/1     unassigned      YES unset  down                  down    
GigabitEthernet1/2     unassigned      YES unset  down                  down    
GigabitEthernet1/3     unassigned      YES unset  down                  down    
GigabitEthernet2/0     unassigned      YES unset  up                    up      
GigabitEthernet2/1     unassigned      YES unset  up                    up      
GigabitEthernet2/2     unassigned      YES unset  up                    up      
GigabitEthernet2/3     unassigned      YES unset  down                  down    
GigabitEthernet3/0     unassigned      YES unset  down                  down    
GigabitEthernet3/1     unassigned      YES unset  down                  down    
GigabitEthernet3/2     unassigned      YES manual up                    up      
GigabitEthernet3/3     unassigned      YES manual up                    up      
Loopback1              3.3.3.3         YES NVRAM  up                    up      
Port-channel1          10.10.30.2      YES manual up                    up      
Vlan1                  192.168.122.93  YES NVRAM  up                    up      
Vlan10                 192.168.10.3    YES manual up                    up      
Vlan20                 192.168.20.3    YES manual up                    up      
Vlan30                 192.168.30.3    YES manual up                    up      
Vlan40                 192.168.40.3    YES manual up                    up      
Vlan50                 192.168.50.3    YES manual up                    up      
Vlan60                 192.168.60.3    YES manual up                    up
