Protocol  Address          Age (min)  Hardware Addr   Type   Interface
Internet  192.168.122.71          7   0200.4c4f.4f50  ARPA   Vlan1
Internet  192.168.122.81          6   0c98.a4db.bd00  ARPA   Vlan1
Internet  192.168.122.82          4   0c98.a464.5b00  ARPA   Vlan1
Internet  192.168.122.83          4   0c98.a4fc.9000  ARPA   Vlan1
Internet  192.168.122.84          4   0c98.a4c1.8001  ARPA   Vlan1
Internet  192.168.122.85          -   0c98.a4a1.8001  ARPA   Vlan1
Internet  192.168.122.86          4   0c98.a4dc.8001  ARPA   Vlan1
Internet  192.168.122.92          8   0c98.a4c6.ea0f  ARPA   Vlan1
Internet  192.168.122.93          8   0c98.a445.940f  ARPA   Vlan1
Internet  192.168.122.94          8   0c98.a4d5.df0f  ARPA   Vlan1
Internet  192.168.122.95          8   0c98.a441.350f  ARPA   Vlan1
Internet  192.168.122.96          8   0c98.a479.070f  ARPA   Vlan1
