Protocol  Address          Age (min)  Hardware Addr   Type   Interface
Internet  10.10.10.1              -   0c98.a4d7.800a  ARPA   Vlan10
Internet  10.10.10.5              0   0050.7966.6809  ARPA   Vlan10
Internet  192.168.20.1            -   0c98.a4d7.8014  ARPA   Vlan20
Internet  192.168.20.5            0   0050.7966.680a  ARPA   Vlan20
Internet  192.168.122.71        122   0200.4c4f.4f50  ARPA   Vlan1
Internet  192.168.122.83        126   0c98.a415.8001  ARPA   Vlan1
Internet  192.168.122.84        139   0c98.a47d.8001  ARPA   Vlan1
Internet  192.168.122.85        135   0c98.a42d.8001  ARPA   Vlan1
Internet  192.168.122.86          -   0c98.a4d7.8001  ARPA   Vlan1
Internet  192.168.122.87        117   0c98.a404.8001  ARPA   Vlan1
Internet  192.168.122.91        229   0c98.a4f0.8500  ARPA   Vlan1
Internet  192.168.122.92        250   0c98.a4c6.8001  ARPA   Vlan1
Internet  192.168.122.93        234   0c98.a445.8001  ARPA   Vlan1
Internet  192.168.122.94        235   0c98.a4d5.8001  ARPA   Vlan1
Internet  192.168.122.95        235   0c98.a441.8001  ARPA   Vlan1
