Interface              IP-Address      OK? Method Status                Protocol
GigabitEthernet0/0     unassigned      YES unset  down                  down    
GigabitEthernet0/1     unassigned      YES unset  down                  down    
GigabitEthernet0/2     unassigned      YES unset  down                  down    
GigabitEthernet0/3     unassigned      YES unset  down                  down    
GigabitEthernet1/0     unassigned      YES unset  down                  down    
GigabitEthernet1/1     unassigned      YES unset  down                  down    
GigabitEthernet1/2     unassigned      YES unset  down                  down    
GigabitEthernet1/3     192.168.10.226  YES manual up                    up      
GigabitEthernet2/0     unassigned      YES unset  down                  down    
GigabitEthernet2/1     unassigned      YES unset  down                  down    
GigabitEthernet2/2     unassigned      YES unset  down                  down    
GigabitEthernet2/3     192.168.10.230  YES manual up                    up      
GigabitEthernet3/0     unassigned      YES unset  up                    up      
GigabitEthernet3/1     unassigned      YES unset  up                    up      
GigabitEthernet3/2     unassigned      YES unset  down                  down    
GigabitEthernet3/3     192.168.122.96  YES manual up                    up      
Loopback0              10.1.3.3        YES manual up                    up
